Date,Type,Value,Price
01/10/2001,Local Authorities,30,
01/10/2001,All,35030,95078.66667
01/01/2002,Private Enterprise,27490,
01/01/2002,Housing Associations,3620,
01/01/2002,Local Authorities,-,
01/01/2002,All,31110,97284.33333
01/04/2002,Private Enterprise,30820,
01/04/2002,Housing Associations,3100,
01/04/2002,Local Authorities,150,
01/04/2002,All,34060,104208
01/07/2002,Private Enterprise,29640,
01/07/2002,Housing Associations,3090,
01/07/2002,Local Authorities,20,
01/07/2002,All,32750,112249
01/10/2002,Private Enterprise,35370,
01/10/2002,Housing Associations,3500,
01/10/2002,Local Authorities,-,
01/10/2002,All,38880,118184.6667
01/01/2003,Private Enterprise,28630,
01/01/2003,Housing Associations,3390,
01/01/2003,Local Authorities,20,
01/01/2003,All,32050,122207.3333
01/04/2003,Private Enterprise,32370,
01/04/2003,Housing Associations,3020,
01/04/2003,Local Authorities,60,
01/04/2003,All,35450,127963.6667
01/07/2003,Private Enterprise,30920,
01/07/2003,Housing Associations,3210,
01/07/2003,Local Authorities,40,
01/07/2003,All,34170,133354
01/10/2003,Private Enterprise,39130,
01/10/2003,Housing Associations,3200,
01/10/2003,Local Authorities,60,
01/10/2003,All,42390,137349.3333
01/01/2004,Private Enterprise,27670,
01/01/2004,Housing Associations,4240,
01/01/2004,Local Authorities,40,
01/01/2004,All,31950,140858
01/04/2004,Private Enterprise,35730,
01/04/2004,Housing Associations,3580,
01/04/2004,Local Authorities,50,
01/04/2004,All,39360,150297.3333
01/07/2004,Private Enterprise,36120,
01/07/2004,Housing Associations,3760,
01/07/2004,Local Authorities,20,
01/07/2004,All,39910,158244.3333
01/10/2004,Private Enterprise,37810,
01/10/2004,Housing Associations,5020,
01/10/2004,Local Authorities,30,
01/10/2004,All,42850,159858
01/01/2005,Private Enterprise,29470,
01/01/2005,Housing Associations,4300,
01/01/2005,Local Authorities,10,
01/01/2005,All,33770,158941
01/04/2005,Private Enterprise,36710,
01/04/2005,Housing Associations,4100,
01/04/2005,Local Authorities,110,
01/04/2005,All,40920,162823
01/07/2005,Private Enterprise,33550,
01/07/2005,Housing Associations,4370,
01/07/2005,Local Authorities,10,
01/07/2005,All,37930,166121.3333
01/10/2005,Private Enterprise,42010,
01/10/2005,Housing Associations,4770,
01/10/2005,Local Authorities,50,
01/10/2005,All,46830,166394.6667
01/01/2006,Private Enterprise,32670,
01/01/2006,Housing Associations,4930,
01/01/2006,Local Authorities,120,
01/01/2006,All,37720,167147
01/04/2006,Private Enterprise,38350,
01/04/2006,Housing Associations,4840,
01/04/2006,Local Authorities,60,
01/04/2006,All,43250,172686.3333
01/07/2006,Private Enterprise,32340,
01/07/2006,Housing Associations,5270,
01/07/2006,Local Authorities,60,
01/07/2006,All,37670,177347.3333
01/10/2006,Private Enterprise,36550,
01/10/2006,Housing Associations,5620,
01/10/2006,Local Authorities,50,
01/10/2006,All,42220,180225.3333
01/01/2007,Private Enterprise,38450,
01/01/2007,Housing Associations,6010,
01/01/2007,Local Authorities,90,
01/01/2007,All,44540,182644.3333
01/04/2007,Private Enterprise,38940,
01/04/2007,Housing Associations,4640,
01/04/2007,Local Authorities,110,
01/04/2007,All,43690,188782.3333
01/07/2007,Private Enterprise,34620,
01/07/2007,Housing Associations,4710,
01/07/2007,Local Authorities,30,
01/07/2007,All,39360,194150.6667
01/10/2007,Private Enterprise,42210,
01/10/2007,Housing Associations,6820,
01/10/2007,Local Authorities,20,
01/10/2007,All,49050,194525
01/01/2008,Private Enterprise,31410,
01/01/2008,Housing Associations,7050,
01/01/2008,Local Authorities,50,
01/01/2008,All,38510,190157.6667
01/04/2008,Private Enterprise,32750,
01/04/2008,Housing Associations,5720,
01/04/2008,Local Authorities,140,
01/04/2008,All,38600,188747.3333
01/07/2008,Private Enterprise,27230,
01/07/2008,Housing Associations,5960,
01/07/2008,Local Authorities,60,
01/07/2008,All,33240,181523.3333
01/10/2008,Private Enterprise,29720,
01/10/2008,Housing Associations,7750,
01/10/2008,Local Authorities,180,
01/10/2008,All,37660,169091.3333
01/01/2009,Private Enterprise,24100,
01/01/2009,Housing Associations,7270,
01/01/2009,Local Authorities,110,
01/01/2009,All,31490,160989.6667
01/04/2009,Private Enterprise,25590,
01/04/2009,Housing Associations,6010,
01/04/2009,Local Authorities,130,
01/04/2009,All,31730,162659
01/07/2009,Private Enterprise,22210,
01/07/2009,Housing Associations,7020,
01/07/2009,Local Authorities,90,
01/07/2009,All,29330,169496.6667
01/10/2009,Private Enterprise,25720,
01/10/2009,Housing Associations,6680,
01/10/2009,Local Authorities,30,
01/10/2009,All,32430,173089.3333
01/01/2010,Private Enterprise,19520,
01/01/2010,Housing Associations,6800,
01/01/2010,Local Authorities,110,
01/01/2010,All,26430,174823.6667
01/04/2010,Private Enterprise,22400,
01/04/2010,Housing Associations,5420,
01/04/2010,Local Authorities,160,
01/04/2010,All,27980,177735
01/07/2010,Private Enterprise,20210,
01/07/2010,Housing Associations,4360,
01/07/2010,Local Authorities,80,
01/07/2010,All,24650,180519
01/10/2010,Private Enterprise,21150,
01/10/2010,Housing Associations,6080,
01/10/2010,Local Authorities,440,
01/10/2010,All,27670,176813
01/01/2011,Private Enterprise,19430,
01/01/2011,Housing Associations,7700,
01/01/2011,Local Authorities,460,
01/01/2011,All,27590,173766.3333
01/04/2011,Private Enterprise,23120,
01/04/2011,Housing Associations,5790,
01/04/2011,Local Authorities,660,
01/04/2011,All,29560,174998.6667
01/07/2011,Private Enterprise,19650,
01/07/2011,Housing Associations,4980,
01/07/2011,Local Authorities,410,
01/07/2011,All,25010,177094
01/10/2011,Private Enterprise,23690,
01/10/2011,Housing Associations,7480,
01/10/2011,Local Authorities,700,
01/10/2011,All,31870,175061
01/01/2012,Private Enterprise,22670,
01/01/2012,Housing Associations,9210,
01/01/2012,Local Authorities,200,
01/01/2012,All,32070,174221
01/04/2012,Private Enterprise,23160,
01/04/2012,Housing Associations,6090,
01/04/2012,Local Authorities,380,
01/04/2012,All,29630,177421.6667
