Year,Date,house_price_change,mortgage_rate_change,Period
2015-02,Feb 15,0.57,-17.64705882,Normal
2015-03,Mar 15,0.36,-16.03375527,Normal
2015-04,Apr 15,2.22,-23.22834646,Normal
2015-05,May 15,0.99,-25.78125,Normal
2015-06,Jun 15,0.91,-29.61538462,Normal
2015-07,Jul 15,1.45,-26.37795276,Normal
2015-08,Aug 15,1.28,-23.22834646,Normal
2015-09,Sep 15,0.11,-22.35772358,Normal
2015-10,Oct 15,-0.16,-15.38461538,Normal
2015-11,Nov 15,-0.3,-11.52073733,Normal
2015-12,Dec 15,0.32,-8.653846154,Normal
2016-01,Jan 16,-0.24,-3.980099502,Normal
2016-02,Feb 16,0.28,-0.510204082,Normal
2016-03,Mar 16,-0.03,-4.522613065,Normal
2016-04,Apr 16,1.27,-5.641025641,Normal
2016-05,May 16,1.13,0.526315789,Normal
2016-06,Jun 16,0.77,-4.371584699,Normal
2016-07,Jul 16,1.74,-8.021390374,Normal
2016-08,Aug 16,1.05,-13.33333333,Normal
2016-09,Sep 16,0.28,-16.7539267,Normal
2016-10,Oct 16,0.15,-18.71657754,Normal
2016-11,Nov 16,0.84,-25.52083333,Normal
2016-12,Dec 16,0.5,-23.68421053,Normal
2017-01,Jan 17,0.35,-24.87046632,Normal
2017-02,Feb 17,0.12,-27.17948718,Normal
2017-03,Mar 17,0.92,-27.89473684,Normal
2017-04,Apr 17,0.5,-26.63043478,Normal
2017-05,May 17,1.16,-21.9895288,Normal
2017-06,Jun 17,0.91,-15.42857143,Normal
2017-07,Jul 17,1.07,-18.02325581,Normal
2017-08,Aug 17,0.13,-15.38461538,Normal
2017-09,Sep 17,-0.14,-11.94968553,Normal
2017-10,Oct 17,-0.39,1.973684211,Normal
2017-11,Nov 17,0.48,12.58741259,Normal
2017-12,Dec 17,0.38,8.275862069,Normal
2018-01,Jan 18,-0.14,6.206896552,Normal
2018-02,Feb 18,0.48,4.929577465,Normal
2018-03,Mar 18,-0.4,11.67883212,Normal
2018-04,Apr 18,1.41,27.40740741,Normal
